EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
21.293,5.668,19.637,13.349,11.926,10.252,4.301,1.430,-0.135,0.871,-0.532,-0.275,-1.038,1.007,60.000,58825.000,1.000
22.772,8.030,19.867,13.380,10.814,9.688,4.228,2.540,-0.137,0.871,-0.530,-0.183,-1.221,1.038,60.000,58826.000,1.000
21.585,8.362,19.130,12.015,7.962,7.239,2.052,2.156,-0.137,0.872,-0.530,-0.336,-1.282,1.129,60.000,58827.000,1.000
18.955,7.003,17.702,9.996,4.561,3.642,-1.363,1.032,-0.137,0.870,-0.531,-0.366,-1.312,1.190,60.000,58828.000,1.000
16.589,4.958,15.926,8.162,1.753,-0.055,-4.801,0.039,-0.136,0.870,-0.531,-0.488,-1.343,1.099,60.000,58829.000,1.000
15.612,3.490,14.188,7.232,0.248,-2.870,-7.155,-0.097,-0.135,0.869,-0.532,-0.397,-1.373,1.160,60.000,58830.000,1.000
16.036,3.543,12.867,7.569,0.217,-4.121,-7.852,0.977,-0.135,0.869,-0.529,-0.458,-1.404,1.099,60.000,58831.000,1.000
17.507,5.507,12.364,9.100,1.523,-3.466,-6.662,3.185,-0.133,0.871,-0.531,-0.519,-1.312,1.190,60.000,58832.000,1.000
19.314,8.738,12.756,11.111,3.572,-1.320,-4.039,5.920,-0.132,0.872,-0.531,-0.641,-1.404,1.282,60.000,58833.000,1.000
21.203,12.313,13.932,12.862,5.680,1.335,-0.855,8.440,-0.132,0.875,-0.528,-0.732,-1.404,1.251,60.000,58834.000,1.000
23.139,15.497,15.498,13.949,7.289,3.415,1.846,10.146,-0.131,0.875,-0.531,-0.854,-1.343,1.190,60.000,58835.000,1.000
24.468,17.532,16.801,14.219,8.054,4.301,3.273,10.676,-0.131,0.874,-0.533,-0.977,-1.312,1.251,60.000,58836.000,1.000
24.531,18.012,17.441,13.811,8.117,4.250,3.650,9.932,-0.131,0.871,-0.532,-1.068,-1.251,1.282,60.000,58837.000,1.000
22.984,16.961,17.295,12.783,7.757,3.841,3.707,7.885,-0.130,0.870,-0.533,-1.068,-1.221,1.312,60.000,58838.000,1.000
20.518,15.109,16.538,11.259,7.333,3.604,4.116,4.835,-0.130,0.870,-0.533,-1.190,-1.160,1.221,60.000,58839.000,1.000
18.344,13.540,15.429,9.537,7.229,3.891,4.896,1.501,-0.129,0.868,-0.531,-1.312,-1.038,1.160,60.000,58840.000,1.000
17.082,12.968,14.202,8.067,7.720,4.863,5.460,-1.145,-0.130,0.869,-0.531,-1.373,-1.099,1.099,60.000,58841.000,1.000
16.727,13.442,13.160,7.321,8.842,6.352,5.312,-2.282,-0.132,0.868,-0.533,-1.373,-0.977,1.068,60.000,58842.000,1.000
16.567,14.166,12.403,7.321,10.030,7.630,4.224,-1.820,-0.135,0.869,-0.534,-1.434,-0.946,0.946,60.000,58843.000,1.000
16.430,14.725,12.051,8.001,10.836,8.274,2.967,-0.166,-0.134,0.869,-0.531,-1.343,-0.946,0.916,60.000,58844.000,1.000
16.653,15.562,12.140,9.292,11.423,8.652,2.883,2.143,-0.132,0.865,-0.531,-1.312,-0.885,0.702,60.000,58845.000,1.000
16.842,16.906,12.330,10.768,12.100,9.360,4.563,4.475,-0.132,0.862,-0.535,-1.221,-0.885,0.580,60.000,58846.000,1.000
15.993,18.094,12.108,11.684,12.746,10.529,7.479,6.086,-0.132,0.863,-0.531,-1.251,-0.946,0.519,60.000,58847.000,1.000
13.270,17.950,11.106,11.314,12.684,11.613,10.251,6.311,-0.131,0.862,-0.533,-1.099,-0.763,0.488,60.000,58848.000,1.000
9.676,16.429,9.716,9.908,11.831,12.331,12.059,5.367,-0.132,0.862,-0.533,-0.916,-0.732,0.458,60.000,58849.000,1.000
7.190,14.604,8.697,8.501,10.981,12.986,12.979,4.269,-0.133,0.865,-0.531,-0.946,-0.732,0.397,60.000,58850.000,1.000
6.573,13.288,8.336,7.889,10.897,13.935,13.333,3.917,-0.135,0.866,-0.530,-0.885,-0.763,0.275,60.000,58851.000,1.000
7.474,12.804,8.425,8.329,11.837,15.314,13.572,4.639,-0.135,0.867,-0.532,-0.977,-0.793,0.244,60.000,58852.000,1.000
9.111,13.010,8.504,9.522,13.401,16.830,13.841,6.199,-0.136,0.867,-0.532,-1.007,-0.824,0.305,60.000,58853.000,1.000
11.385,13.761,8.458,11.116,15.119,18.072,14.256,8.224,-0.136,0.868,-0.530,-1.099,-0.763,0.275,60.000,58854.000,1.000
14.371,14.773,8.435,12.750,16.564,18.549,14.878,10.208,-0.136,0.869,-0.527,-1.068,-0.824,0.183,60.000,58855.000,1.000
17.235,15.346,8.329,13.762,17.043,17.626,15.273,11.421,-0.134,0.870,-0.532,-1.099,-0.916,0.244,60.000,58856.000,1.000
18.904,15.025,7.789,13.479,15.917,14.967,14.730,11.269,-0.135,0.869,-0.532,-1.251,-0.916,0.275,60.000,58857.000,1.000
18.691,13.856,6.454,11.671,13.051,10.885,12.580,9.702,-0.137,0.869,-0.535,-1.312,-0.793,0.336,60.000,58858.000,1.000
17.050,12.401,4.539,9.070,9.302,6.527,9.127,7.520,-0.136,0.865,-0.531,-1.251,-0.885,0.336,60.000,58859.000,1.000
14.769,11.044,2.610,6.673,5.872,3.088,5.445,5.790,-0.134,0.865,-0.532,-1.190,-0.946,0.366,60.000,58860.000,1.000
12.222,9.853,1.158,4.889,3.465,1.069,2.512,5.218,-0.135,0.865,-0.531,-1.190,-0.763,0.275,60.000,58861.000,1.000
10.166,9.281,0.692,3.828,2.428,0.478,1.005,6.271,-0.136,0.865,-0.535,-1.099,-0.885,0.397,60.000,58862.000,1.000
9.359,9.638,1.429,3.498,2.722,0.940,0.804,9.039,-0.136,0.867,-0.531,-1.068,-0.824,0.336,60.000,58863.000,1.000
10.344,10.784,3.160,3.926,4.002,1.989,1.413,12.864,-0.135,0.866,-0.531,-0.916,-0.885,0.305,60.000,58864.000,1.000
12.710,12.075,5.112,4.797,5.485,3.086,2.262,16.216,-0.137,0.866,-0.533,-0.916,-0.946,0.397,60.000,58865.000,1.000
14.826,12.560,6.249,5.455,6.236,3.722,2.744,17.646,-0.137,0.867,-0.529,-0.916,-0.977,0.336,60.000,58866.000,1.000
15.329,11.824,6.039,5.636,6.076,3.866,2.670,16.955,-0.136,0.866,-0.531,-0.824,-1.007,0.488,60.000,58867.000,1.000
13.810,10.117,4.597,5.523,5.506,3.809,2.083,15.054,-0.138,0.866,-0.531,-0.916,-1.038,0.458,60.000,58868.000,1.000
11.397,8.495,2.746,5.640,5.227,4.043,1.421,13.240,-0.138,0.865,-0.530,-0.885,-1.038,0.397,60.000,58869.000,1.000
9.770,8.189,1.508,6.404,5.550,4.988,1.221,12.383,-0.140,0.864,-0.533,-0.793,-1.068,0.397,60.000,58870.000,1.000
9.667,9.697,1.441,7.823,6.310,6.784,1.662,12.663,-0.142,0.864,-0.533,-0.671,-1.190,0.336,60.000,58871.000,1.000
10.918,12.695,2.469,9.652,7.279,9.304,2.679,13.754,-0.143,0.861,-0.531,-0.702,-1.312,0.305,60.000,58872.000,1.000
12.150,15.632,3.667,11.083,7.829,11.748,3.529,14.726,-0.143,0.861,-0.532,-0.702,-1.465,0.244,60.000,58873.000,1.000
11.599,16.343,3.820,11.024,7.098,12.893,3.187,14.517,-0.142,0.861,-0.531,-0.549,-1.587,0.214,60.000,58874.000,1.000
7.995,13.246,2.100,8.719,4.509,11.781,0.879,12.633,-0.142,0.862,-0.533,-0.488,-1.709,0.183,60.000,58875.000,1.000
1.334,6.443,-1.454,4.405,0.264,8.468,-3.389,9.437,-0.140,0.862,-0.535,-0.488,-1.709,0.092,60.000,58876.000,1.000
