EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
1.095,4.293,-0.844,2.573,-5.477,0.210,-0.647,-3.393,-0.070,0.931,-0.424,-0.397,-0.580,0.305,60.000,84913.000,1.000
4.235,8.205,0.115,4.467,-4.211,1.004,0.258,-3.988,-0.070,0.931,-0.427,-0.336,-0.549,0.397,60.000,84914.000,1.000
8.321,11.956,1.559,6.789,-2.878,1.430,0.527,-4.838,-0.068,0.930,-0.426,-0.366,-0.671,0.488,60.000,84915.000,1.000
12.342,14.643,3.357,9.019,-1.572,1.958,0.614,-5.608,-0.069,0.931,-0.428,-0.275,-0.641,0.549,60.000,84916.000,1.000
15.225,15.668,5.065,10.532,-0.345,2.785,1.303,-5.805,-0.069,0.929,-0.427,-0.366,-0.580,0.458,60.000,84917.000,1.000
16.905,15.408,6.412,11.161,1.015,4.012,3.295,-4.876,-0.068,0.930,-0.426,-0.336,-0.580,0.549,60.000,84918.000,1.000
17.986,14.826,7.294,11.070,2.639,5.450,6.229,-2.702,-0.067,0.930,-0.427,-0.336,-0.488,0.519,60.000,84919.000,1.000
19.154,14.706,7.668,10.457,4.301,6.530,8.762,0.131,-0.067,0.931,-0.426,-0.427,-0.458,0.641,60.000,84920.000,1.000
20.037,14.749,7.349,9.257,5.278,6.482,9.333,2.435,-0.068,0.930,-0.427,-0.458,-0.427,0.793,60.000,84921.000,1.000
19.585,14.007,6.296,7.503,4.983,5.046,7.508,3.123,-0.067,0.930,-0.426,-0.488,-0.580,0.793,60.000,84922.000,1.000
17.407,12.162,4.818,5.664,3.707,2.810,4.567,1.898,-0.069,0.929,-0.427,-0.549,-0.641,0.793,60.000,84923.000,1.000
13.839,9.783,3.273,4.282,2.399,0.732,2.362,-0.764,-0.068,0.928,-0.424,-0.549,-0.458,0.793,60.000,84924.000,1.000
9.982,8.107,2.036,3.839,2.161,-0.177,2.306,-3.888,-0.066,0.929,-0.425,-0.549,-0.458,0.824,60.000,84925.000,1.000
