EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-15.122,-15.928,-8.277,-5.552,-10.156,-8.692,-11.965,-8.804,-0.075,0.972,-0.296,-0.397,-1.099,0.214,60.000,10521.000,1.000
-9.504,-9.799,-4.360,-1.162,-6.085,-4.825,-7.052,-5.608,-0.075,0.973,-0.296,-0.366,-1.129,0.214,60.000,10522.000,1.000
-2.351,-2.824,-0.251,2.987,-1.391,0.282,0.350,-1.212,-0.074,0.972,-0.297,-0.336,-1.160,0.122,60.000,10523.000,1.000
4.156,2.655,2.722,5.554,2.510,5.046,7.674,2.774,-0.073,0.974,-0.296,-0.427,-1.160,0.153,60.000,10524.000,1.000
7.406,4.583,3.080,5.274,3.803,7.127,11.245,4.201,-0.072,0.972,-0.298,-0.549,-1.068,0.153,60.000,10525.000,1.000
6.298,2.406,0.394,2.054,1.640,4.812,8.703,2.127,-0.073,0.969,-0.299,-0.610,-1.038,0.122,60.000,10526.000,1.000
2.050,-2.132,-3.751,-2.420,-2.689,-1.050,0.961,-2.016,-0.076,0.971,-0.295,-0.580,-1.007,0.031,60.000,10527.000,1.000
-1.451,-5.119,-6.088,-4.937,-5.813,-6.559,-7.350,-4.819,-0.078,0.972,-0.296,-0.641,-1.068,0.000,60.000,10528.000,1.000
-0.381,-3.071,-3.941,-2.902,-4.514,-7.396,-10.843,-3.358,-0.079,0.972,-0.296,-0.641,-1.129,0.031,60.000,10529.000,1.000
5.725,4.299,2.624,3.473,1.712,-2.186,-7.459,2.507,-0.076,0.973,-0.294,-0.641,-1.251,-0.031,60.000,10530.000,1.000
14.219,14.003,10.666,11.158,10.145,6.570,0.435,9.969,-0.077,0.973,-0.293,-0.763,-1.221,-0.153,60.000,10531.000,1.000
20.597,21.387,15.982,15.887,16.318,14.121,7.763,14.827,-0.077,0.974,-0.295,-0.854,-1.251,-0.122,60.000,10532.000,1.000
21.814,23.269,15.960,15.216,17.239,16.887,10.966,14.588,-0.076,0.973,-0.292,-0.916,-1.251,-0.183,60.000,10533.000,1.000
17.916,19.680,11.223,10.077,13.251,14.491,10.051,10.332,-0.076,0.973,-0.295,-0.946,-1.373,-0.153,60.000,10534.000,1.000
11.315,13.302,5.154,3.933,7.397,9.577,7.652,5.861,-0.076,0.974,-0.296,-1.007,-1.312,-0.092,60.000,10535.000,1.000
5.544,7.648,1.562,0.412,3.258,6.070,7.084,4.905,-0.077,0.974,-0.297,-1.007,-1.251,-0.183,60.000,10536.000,1.000
