EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-5.140,-2.474,-2.773,3.401,2.609,1.498,10.117,9.215,-0.153,0.949,-0.345,-2.319,-0.488,1.007,60.000,64537.000,1.000
-3.215,-1.245,-0.042,5.695,5.432,3.232,12.131,12.885,-0.152,0.950,-0.342,-2.472,-0.458,0.946,60.000,64538.000,1.000
0.424,0.579,2.640,7.952,8.308,4.277,13.254,15.611,-0.153,0.948,-0.345,-2.716,-0.488,0.977,60.000,64539.000,1.000
4.684,2.361,4.650,9.326,10.270,3.816,12.416,16.452,-0.153,0.945,-0.349,-2.655,-0.488,1.068,60.000,64540.000,1.000
7.339,2.714,5.336,8.945,10.066,1.460,8.815,14.278,-0.155,0.941,-0.350,-2.716,-0.519,1.099,60.000,64541.000,1.000
6.467,0.622,4.457,6.484,7.032,-2.482,2.554,8.976,-0.154,0.939,-0.350,-2.502,-0.549,1.129,60.000,64542.000,1.000
2.353,-3.378,2.682,2.860,2.198,-6.548,-4.539,2.407,-0.153,0.939,-0.348,-2.563,-0.549,1.160,60.000,64543.000,1.000
-2.823,-7.627,1.140,-0.289,-2.140,-8.775,-9.707,-2.649,-0.152,0.940,-0.347,-2.319,-0.549,1.007,60.000,64544.000,1.000
-6.733,-10.435,0.666,-1.695,-3.960,-7.989,-11.231,-4.440,-0.153,0.943,-0.344,-2.106,-0.458,0.946,60.000,64545.000,1.000
-7.427,-10.407,1.600,-0.848,-2.366,-4.249,-8.986,-2.875,-0.152,0.946,-0.346,-2.075,-0.610,0.946,60.000,64546.000,1.000
-4.700,-7.375,3.526,1.562,1.901,1.079,-4.500,0.698,-0.153,0.947,-0.347,-2.136,-0.580,0.946,60.000,64547.000,1.000
0.019,-2.539,5.537,4.200,6.993,6.104,0.413,4.525,-0.153,0.948,-0.350,-2.106,-0.549,0.946,60.000,64548.000,1.000
4.528,2.112,6.692,5.900,10.891,9.275,4.857,7.332,-0.152,0.949,-0.345,-2.197,-0.580,0.977,60.000,64549.000,1.000
6.796,4.717,6.479,6.186,12.333,9.997,8.622,8.767,-0.153,0.950,-0.346,-2.258,-0.580,0.946,60.000,64550.000,1.000
6.673,4.840,5.182,5.580,11.569,8.920,11.710,9.520,-0.152,0.951,-0.342,-2.258,-0.610,1.038,60.000,64551.000,1.000
