EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
1.656,1.362,8.636,3.184,2.967,0.526,-0.010,4.013,-0.044,0.925,-0.445,-1.434,-0.885,0.610,60.000,120105.000,1.000
1.394,0.958,8.906,1.548,1.635,-0.275,-0.106,2.361,-0.042,0.924,-0.445,-1.526,-0.824,0.610,60.000,120106.000,1.000
1.176,0.977,9.377,0.050,0.272,-0.946,0.429,0.509,-0.041,0.919,-0.449,-1.556,-0.763,0.580,60.000,120107.000,1.000
2.361,2.290,10.707,-0.320,0.021,-0.703,1.914,-0.110,-0.036,0.917,-0.451,-1.556,-0.732,0.641,60.000,120108.000,1.000
4.964,4.381,12.842,0.647,1.234,0.441,3.438,1.156,-0.033,0.917,-0.448,-1.587,-0.580,0.763,60.000,120109.000,1.000
7.541,5.702,15.125,2.347,3.407,1.849,3.491,3.780,-0.032,0.916,-0.446,-1.526,-0.366,0.854,60.000,120110.000,1.000
8.817,5.207,16.890,4.043,5.795,2.952,1.520,6.316,-0.033,0.916,-0.448,-1.312,-0.244,0.854,60.000,120111.000,1.000
8.365,3.049,17.809,5.270,7.813,3.626,-1.569,7.280,-0.035,0.916,-0.452,-1.282,0.000,0.793,60.000,120112.000,1.000
7.523,0.967,18.372,6.373,9.724,4.593,-3.495,6.555,-0.038,0.916,-0.447,-1.190,0.092,0.763,60.000,120113.000,1.000
7.725,0.778,19.053,7.761,11.905,6.478,-2.822,5.171,-0.039,0.920,-0.445,-1.221,0.214,0.824,60.000,120114.000,1.000
8.681,2.541,19.498,9.140,13.847,8.830,-0.504,4.132,-0.039,0.920,-0.444,-1.251,0.244,0.732,60.000,120115.000,1.000
8.864,4.468,18.843,9.808,14.343,10.442,1.197,3.784,-0.040,0.923,-0.446,-1.343,0.153,0.671,60.000,120116.000,1.000
6.901,4.384,16.482,9.324,12.410,10.366,0.735,3.914,-0.041,0.924,-0.444,-1.404,0.275,0.671,60.000,120117.000,1.000
3.894,2.231,12.933,8.307,8.495,8.898,-0.964,4.309,-0.043,0.923,-0.446,-1.434,0.244,0.610,60.000,120118.000,1.000
2.146,-0.216,9.217,7.629,3.934,6.883,-2.040,4.541,-0.047,0.923,-0.447,-1.373,0.183,0.519,60.000,120119.000,1.000
2.716,-1.326,6.126,7.506,-0.121,4.927,-1.825,4.022,-0.046,0.922,-0.446,-1.373,0.153,0.458,60.000,120120.000,1.000
5.074,-0.656,4.151,7.679,-3.003,3.445,-0.841,2.633,-0.048,0.920,-0.447,-1.282,0.061,0.397,60.000,120121.000,1.000
7.738,0.997,3.406,7.853,-4.582,2.675,0.073,0.848,-0.049,0.921,-0.447,-1.343,0.000,0.214,60.000,120122.000,1.000
10.213,2.901,3.870,8.222,-4.807,2.797,0.823,-0.551,-0.050,0.922,-0.445,-1.282,-0.214,0.031,60.000,120123.000,1.000
12.397,4.537,4.931,8.733,-4.128,3.470,1.210,-1.346,-0.049,0.923,-0.447,-1.343,-0.244,0.031,60.000,120124.000,1.000
13.658,5.419,5.439,8.724,-3.592,3.869,0.371,-2.088,-0.047,0.925,-0.447,-1.404,-0.488,-0.122,60.000,120125.000,1.000
13.512,5.514,4.520,7.613,-4.032,3.314,-2.232,-3.493,-0.048,0.923,-0.450,-1.373,-0.641,-0.092,60.000,120126.000,1.000
11.815,5.129,2.037,5.313,-5.574,1.600,-6.089,-5.859,-0.047,0.921,-0.451,-1.282,-0.732,-0.092,60.000,120127.000,1.000
9.619,5.164,-1.102,2.602,-7.270,-0.591,-9.244,-8.638,-0.046,0.921,-0.449,-1.282,-0.854,-0.092,60.000,120128.000,1.000
7.998,6.283,-3.754,0.390,-7.998,-2.217,-9.894,-10.940,-0.045,0.920,-0.444,-1.251,-0.854,-0.214,60.000,120129.000,1.000
