EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
16.397,12.738,7.257,9.636,7.157,8.776,14.153,3.025,-0.049,0.922,-0.455,-0.885,-0.824,0.366,60.000,116569.000,1.000
19.480,13.145,7.786,9.373,8.281,10.340,16.957,5.552,-0.047,0.921,-0.458,-0.946,-0.824,0.610,60.000,116570.000,1.000
20.418,11.549,7.306,8.090,7.813,10.123,16.280,6.193,-0.047,0.921,-0.460,-1.038,-0.702,0.519,60.000,116571.000,1.000
20.803,9.816,6.380,6.452,6.236,8.617,13.019,5.260,-0.048,0.919,-0.455,-1.068,-0.427,0.641,60.000,116572.000,1.000
21.854,9.172,5.321,4.911,4.171,6.483,8.837,3.407,-0.047,0.918,-0.459,-1.038,-0.275,0.580,60.000,116573.000,1.000
22.432,8.913,3.714,3.140,1.642,3.864,4.654,0.861,-0.047,0.919,-0.456,-1.160,-0.183,0.671,60.000,116574.000,1.000
21.000,7.980,1.311,0.907,-1.237,0.940,1.094,-2.226,-0.046,0.919,-0.456,-1.068,-0.092,0.702,60.000,116575.000,1.000
17.399,6.280,-1.510,-1.464,-3.873,-1.540,-1.169,-5.460,-0.049,0.919,-0.455,-1.099,-0.061,0.793,60.000,116576.000,1.000
13.630,4.955,-3.679,-2.963,-5.130,-2.227,-1.233,-7.905,-0.050,0.923,-0.457,-1.129,0.092,0.946,60.000,116577.000,1.000
11.639,4.900,-4.391,-2.916,-4.360,-0.455,0.994,-8.558,-0.049,0.921,-0.454,-1.190,0.183,1.068,60.000,116578.000,1.000
10.805,5.468,-4.012,-1.991,-2.385,2.800,4.231,-7.493,-0.050,0.918,-0.455,-1.221,0.244,1.038,60.000,116579.000,1.000
9.482,5.666,-3.504,-1.410,-0.676,5.895,7.136,-6.044,-0.049,0.918,-0.453,-1.343,0.336,1.068,60.000,116580.000,1.000
6.939,5.230,-3.586,-1.891,-0.276,7.573,8.549,-5.744,-0.050,0.916,-0.454,-1.343,0.397,1.129,60.000,116581.000,1.000
4.714,5.080,-3.988,-2.936,-0.950,7.738,8.032,-6.847,-0.051,0.914,-0.454,-1.343,0.397,1.038,60.000,116582.000,1.000
4.491,5.879,-4.194,-3.809,-1.935,6.953,5.814,-8.596,-0.052,0.912,-0.455,-1.312,0.244,0.977,60.000,116583.000,1.000
5.267,6.691,-4.423,-4.636,-3.127,5.550,2.176,-10.157,-0.056,0.913,-0.457,-1.312,0.336,1.038,60.000,116584.000,1.000
4.886,6.325,-5.117,-5.692,-4.618,3.848,-2.085,-10.754,-0.055,0.913,-0.454,-1.251,0.305,0.977,60.000,116585.000,1.000
2.171,4.522,-6.434,-6.843,-6.133,2.315,-5.742,-9.997,-0.053,0.911,-0.452,-1.038,0.275,1.007,60.000,116586.000,1.000
-1.394,2.558,-7.774,-7.282,-6.695,1.756,-7.079,-7.893,-0.051,0.913,-0.450,-0.946,0.336,0.854,60.000,116587.000,1.000
-3.334,2.078,-8.447,-6.510,-5.598,2.599,-5.180,-4.935,-0.053,0.910,-0.453,-0.916,0.275,0.854,60.000,116588.000,1.000
-3.341,3.227,-8.607,-5.310,-3.538,4.194,-1.358,-2.112,-0.053,0.915,-0.454,-0.854,0.153,0.793,60.000,116589.000,1.000
-2.886,4.801,-8.820,-4.929,-1.847,5.507,2.019,-0.232,-0.051,0.914,-0.452,-0.854,0.122,0.793,60.000,116590.000,1.000
-3.680,5.218,-9.484,-6.101,-1.462,5.813,3.119,0.507,-0.050,0.912,-0.451,-0.824,0.061,0.763,60.000,116591.000,1.000
-5.256,4.356,-10.051,-8.069,-1.919,5.456,2.292,0.783,-0.051,0.910,-0.452,-0.671,0.031,0.824,60.000,116592.000,1.000
-5.484,3.593,-9.366,-9.145,-1.778,5.581,1.586,1.605,-0.051,0.914,-0.455,-0.641,0.092,0.702,60.000,116593.000,1.000
-3.364,3.988,-6.747,-8.260,-0.017,7.094,2.680,3.464,-0.052,0.916,-0.454,-0.580,0.122,0.641,60.000,116594.000,1.000
0.539,5.549,-2.357,-5.502,3.374,10.000,5.885,6.148,-0.052,0.917,-0.453,-0.641,0.031,0.519,60.000,116595.000,1.000
4.384,7.167,2.592,-2.097,7.115,12.954,9.582,8.745,-0.052,0.918,-0.452,-0.671,0.000,0.519,60.000,116596.000,1.000
7.199,8.070,6.717,0.780,9.729,14.347,11.779,10.434,-0.052,0.919,-0.452,-0.854,-0.031,0.580,60.000,116597.000,1.000
9.514,8.492,9.143,2.650,10.517,13.421,11.493,10.888,-0.054,0.919,-0.454,-0.824,-0.061,0.610,60.000,116598.000,1.000
11.678,8.716,9.514,3.359,9.482,10.346,8.654,9.959,-0.054,0.918,-0.455,-0.885,-0.122,0.549,60.000,116599.000,1.000
13.479,8.756,8.124,3.010,7.229,6.019,4.138,7.735,-0.053,0.916,-0.457,-0.824,-0.214,0.580,60.000,116600.000,1.000
13.938,8.258,5.584,1.692,4.439,1.460,-0.885,4.628,-0.055,0.917,-0.454,-0.793,-0.244,0.549,60.000,116601.000,1.000
12.808,7.315,2.856,-0.108,1.966,-2.255,-4.897,1.463,-0.054,0.918,-0.458,-0.854,-0.336,0.702,60.000,116602.000,1.000
10.993,6.570,0.856,-1.570,0.625,-4.320,-6.462,-0.926,-0.054,0.920,-0.457,-0.854,-0.366,0.793,60.000,116603.000,1.000
9.384,6.469,-0.046,-2.090,0.692,-4.482,-5.024,-2.040,-0.053,0.920,-0.453,-0.885,-0.366,0.885,60.000,116604.000,1.000
8.635,7.090,0.103,-1.398,1.988,-2.851,-0.935,-1.727,-0.048,0.919,-0.454,-0.946,-0.397,0.824,60.000,116605.000,1.000
8.287,7.699,0.775,0.097,3.666,-0.160,4.143,-0.445,-0.047,0.919,-0.454,-1.007,-0.427,0.854,60.000,116606.000,1.000
7.811,7.644,1.520,1.832,4.810,2.617,8.442,1.138,-0.046,0.917,-0.453,-1.068,-0.458,0.946,60.000,116607.000,1.000
