EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-21.208,-16.599,-6.233,-11.963,-10.854,-16.249,-15.622,-12.106,-0.048,0.914,-0.454,-1.434,-0.977,0.763,60.000,123297.000,1.000
-21.646,-18.356,-6.147,-11.843,-11.505,-17.920,-17.610,-11.384,-0.049,0.915,-0.451,-1.312,-0.916,0.793,60.000,123298.000,1.000
-19.439,-17.778,-5.022,-9.658,-9.938,-16.263,-15.127,-9.159,-0.049,0.920,-0.451,-1.221,-0.885,0.824,60.000,123299.000,1.000
-14.826,-14.494,-2.929,-5.845,-6.513,-12.080,-9.708,-6.235,-0.049,0.924,-0.449,-1.221,-0.854,0.946,60.000,123300.000,1.000
-9.011,-9.279,-0.457,-1.431,-2.342,-7.139,-4.321,-3.303,-0.049,0.922,-0.448,-1.251,-0.824,0.946,60.000,123301.000,1.000
-2.890,-3.413,1.760,2.490,1.547,-3.018,-1.058,-0.775,-0.049,0.925,-0.448,-1.434,-0.793,0.916,60.000,123302.000,1.000
3.382,2.161,3.433,5.212,4.732,-0.322,0.201,1.369,-0.046,0.924,-0.448,-1.526,-0.732,0.946,60.000,123303.000,1.000
8.562,6.313,4.157,6.053,6.679,0.761,0.290,3.135,-0.047,0.923,-0.448,-1.556,-0.824,0.885,60.000,123304.000,1.000
10.918,8.001,3.597,4.729,6.859,0.314,-0.070,4.361,-0.044,0.921,-0.449,-1.617,-0.610,0.702,60.000,123305.000,1.000
9.905,7.037,1.956,1.830,5.413,-1.034,-0.290,4.833,-0.042,0.919,-0.449,-1.648,-0.488,0.702,60.000,123306.000,1.000
7.540,4.893,0.465,-0.904,3.676,-1.779,0.667,4.760,-0.042,0.919,-0.451,-1.617,-0.397,0.793,60.000,123307.000,1.000
6.742,3.704,0.567,-1.713,3.200,-0.541,3.563,4.541,-0.040,0.917,-0.450,-1.617,-0.305,0.885,60.000,123308.000,1.000
7.706,3.873,2.311,-0.568,3.966,2.274,7.064,4.045,-0.042,0.913,-0.450,-1.709,-0.183,0.885,60.000,123309.000,1.000
8.566,4.290,4.543,1.248,4.788,4.967,8.801,3.081,-0.042,0.913,-0.449,-1.678,0.092,0.916,60.000,123310.000,1.000
7.739,3.861,5.999,2.450,4.706,6.153,7.587,1.990,-0.044,0.915,-0.450,-1.465,0.153,0.824,60.000,123311.000,1.000
5.766,2.799,6.392,2.833,4.024,5.908,4.741,1.452,-0.043,0.917,-0.452,-1.404,0.183,0.946,60.000,123312.000,1.000
