EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
1.837,5.372,2.063,3.445,4.134,-4.235,-2.469,6.669,-0.045,0.918,-0.443,-0.336,-0.671,0.092,60.000,126713.000,1.000
4.921,6.837,4.734,4.835,5.803,0.353,0.970,7.358,-0.045,0.918,-0.440,-0.336,-0.671,-0.031,60.000,126714.000,1.000
7.291,8.479,7.356,6.449,8.250,5.315,5.417,8.146,-0.044,0.919,-0.441,-0.305,-0.519,0.000,60.000,126715.000,1.000
8.217,9.525,9.176,7.386,10.495,8.610,8.790,8.362,-0.047,0.919,-0.444,-0.244,-0.519,-0.092,60.000,126716.000,1.000
8.077,9.778,9.731,7.136,11.451,8.705,9.186,7.398,-0.047,0.918,-0.446,-0.336,-0.580,-0.092,60.000,126717.000,1.000
7.603,9.502,8.925,5.753,10.595,5.721,6.058,5.096,-0.050,0.919,-0.445,-0.275,-0.641,-0.244,60.000,126718.000,1.000
6.499,8.654,6.887,3.542,8.004,1.312,0.471,1.853,-0.050,0.920,-0.447,-0.244,-0.671,-0.275,60.000,126719.000,1.000
4.524,7.259,4.214,1.112,4.367,-2.426,-5.225,-1.356,-0.048,0.918,-0.446,-0.183,-0.732,-0.214,60.000,126720.000,1.000
2.080,5.467,1.635,-1.022,0.441,-4.409,-8.928,-3.589,-0.047,0.920,-0.444,-0.092,-0.763,-0.092,60.000,126721.000,1.000
0.780,3.930,-0.020,-2.267,-2.821,-4.450,-9.233,-4.293,-0.045,0.922,-0.446,0.061,-0.854,0.031,60.000,126722.000,1.000
1.830,3.253,-0.329,-2.303,-4.660,-2.966,-6.152,-3.739,-0.045,0.921,-0.445,-0.031,-0.916,0.031,60.000,126723.000,1.000
4.412,3.310,0.278,-1.546,-5.102,-0.923,-1.485,-3.057,-0.045,0.920,-0.442,-0.061,-0.885,0.122,60.000,126724.000,1.000
7.067,3.790,1.103,-0.554,-4.493,0.812,2.725,-3.252,-0.044,0.921,-0.447,-0.061,-0.916,0.244,60.000,126725.000,1.000
8.883,4.479,1.738,0.475,-3.114,1.965,5.469,-4.314,-0.043,0.922,-0.446,-0.153,-0.946,0.122,60.000,126726.000,1.000
10.646,5.864,2.499,2.044,-0.893,3.075,7.469,-5.118,-0.041,0.922,-0.448,-0.092,-0.793,0.275,60.000,126727.000,1.000
13.252,8.393,3.703,4.419,1.949,4.629,9.756,-4.720,-0.043,0.923,-0.447,-0.061,-0.824,0.336,60.000,126728.000,1.000
15.818,11.490,5.099,6.952,4.620,6.548,12.331,-3.235,-0.043,0.923,-0.449,-0.122,-0.854,0.336,60.000,126729.000,1.000
16.929,14.066,6.172,8.766,6.454,8.509,14.551,-1.393,-0.044,0.922,-0.448,-0.214,-0.702,0.397,60.000,126730.000,1.000
15.765,14.887,6.216,9.173,6.923,9.774,15.190,-0.044,-0.045,0.920,-0.448,-0.153,-0.702,0.336,60.000,126731.000,1.000
13.487,13.771,5.131,8.413,6.131,9.884,13.763,0.580,-0.043,0.922,-0.453,-0.153,-0.702,0.305,60.000,126732.000,1.000
11.948,11.727,3.532,7.364,4.800,9.167,11.205,0.798,-0.044,0.919,-0.448,-0.244,-0.702,0.305,60.000,126733.000,1.000
11.350,9.821,2.061,6.584,3.509,8.305,8.827,0.812,-0.044,0.921,-0.447,-0.214,-0.671,0.275,60.000,126734.000,1.000
10.790,8.720,1.019,6.175,2.367,7.694,7.237,0.583,-0.044,0.920,-0.451,-0.366,-0.610,0.092,60.000,126735.000,1.000
9.421,8.427,0.206,5.883,1.005,7.092,5.901,-0.012,-0.044,0.920,-0.446,-0.397,-0.702,0.122,60.000,126736.000,1.000
8.107,9.042,-0.442,5.766,-0.522,6.356,4.590,-0.744,-0.043,0.922,-0.446,-0.458,-0.610,0.000,60.000,126737.000,1.000
8.030,10.454,-1.000,5.891,-1.865,5.381,3.293,-1.372,-0.043,0.920,-0.450,-0.610,-0.549,-0.031,60.000,126738.000,1.000
8.565,11.730,-1.831,5.929,-2.994,3.835,1.395,-2.101,-0.046,0.921,-0.445,-0.580,-0.549,-0.122,60.000,126739.000,1.000
8.505,12.053,-3.013,5.648,-3.935,1.830,-1.476,-3.239,-0.046,0.919,-0.447,-0.732,-0.580,-0.214,60.000,126740.000,1.000
7.254,11.150,-4.267,4.908,-4.819,-0.073,-5.220,-4.769,-0.044,0.917,-0.447,-0.824,-0.580,-0.366,60.000,126741.000,1.000
