EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-9.877,-3.621,-1.857,-7.544,1.067,2.085,3.138,-11.729,-0.064,0.922,-0.440,-0.824,-0.366,0.153,60.000,9369.000,1.000
-10.215,-3.526,-4.383,-7.239,2.299,1.449,1.213,-10.075,-0.064,0.923,-0.438,-0.793,-0.458,0.214,60.000,9370.000,1.000
-11.611,-4.394,-6.900,-7.692,2.858,0.933,-0.144,-8.791,-0.063,0.922,-0.437,-0.763,-0.610,0.275,60.000,9371.000,1.000
-14.467,-6.475,-9.181,-8.943,2.512,0.695,-1.010,-8.360,-0.064,0.925,-0.440,-0.732,-0.580,0.244,60.000,9372.000,1.000
-17.433,-8.873,-10.771,-10.210,1.715,1.022,-1.453,-8.367,-0.064,0.925,-0.441,-0.732,-0.610,0.275,60.000,9373.000,1.000
-19.334,-10.740,-11.387,-10.847,0.874,1.766,-1.622,-7.930,-0.064,0.925,-0.439,-0.763,-0.732,0.275,60.000,9374.000,1.000
-20.042,-11.754,-10.978,-10.692,0.117,2.492,-1.613,-6.187,-0.063,0.922,-0.438,-0.702,-0.793,0.153,60.000,9375.000,1.000
-19.593,-11.614,-9.573,-9.692,-0.262,3.112,-1.144,-2.849,-0.063,0.920,-0.438,-0.671,-0.916,0.183,60.000,9376.000,1.000
-18.239,-10.314,-7.528,-8.000,0.026,3.739,-0.240,1.150,-0.061,0.917,-0.439,-0.671,-0.916,0.183,60.000,9377.000,1.000
-16.021,-8.052,-5.324,-5.880,1.165,4.432,0.821,4.175,-0.060,0.914,-0.439,-0.580,-0.885,0.305,60.000,9378.000,1.000
-13.807,-5.680,-3.674,-4.028,2.700,4.802,1.412,4.946,-0.062,0.915,-0.441,-0.458,-0.885,0.275,60.000,9379.000,1.000
-12.865,-4.117,-3.035,-3.012,3.986,4.597,1.346,3.631,-0.058,0.914,-0.441,-0.336,-0.977,0.244,60.000,9380.000,1.000
-13.308,-3.347,-3.179,-2.587,4.956,4.216,1.203,1.730,-0.058,0.917,-0.442,-0.275,-0.824,0.366,60.000,9381.000,1.000
-14.538,-2.963,-3.712,-2.328,5.621,3.930,0.909,0.719,-0.056,0.919,-0.439,-0.305,-0.854,0.458,60.000,9382.000,1.000
-15.301,-2.400,-4.282,-1.978,5.879,3.580,-0.128,1.302,-0.053,0.920,-0.440,-0.275,-0.732,0.488,60.000,9383.000,1.000
-14.920,-1.354,-4.844,-1.715,5.511,2.778,-2.119,3.129,-0.055,0.922,-0.440,-0.336,-0.519,0.519,60.000,9384.000,1.000
-13.723,0.163,-5.467,-1.916,4.486,1.432,-4.255,5.121,-0.057,0.925,-0.440,-0.488,-0.488,0.488,60.000,9385.000,1.000
-12.392,1.881,-6.158,-2.892,2.973,-0.247,-5.366,6.160,-0.062,0.922,-0.438,-0.488,-0.397,0.488,60.000,9386.000,1.000
-11.529,3.266,-6.764,-4.617,1.161,-1.920,-4.940,5.932,-0.067,0.923,-0.441,-0.458,-0.488,0.458,60.000,9387.000,1.000
-10.332,4.455,-6.478,-5.998,-0.194,-2.616,-2.457,5.479,-0.068,0.923,-0.440,-0.519,-0.458,0.336,60.000,9388.000,1.000
-8.097,5.596,-4.766,-5.874,-0.481,-1.458,1.954,5.810,-0.068,0.924,-0.441,-0.610,-0.549,0.275,60.000,9389.000,1.000
-5.305,6.430,-2.179,-4.108,0.135,1.354,6.910,6.560,-0.066,0.924,-0.441,-0.732,-0.671,0.244,60.000,9390.000,1.000
-2.607,6.978,0.102,-1.465,1.104,4.505,10.630,6.561,-0.066,0.924,-0.442,-0.793,-0.793,0.122,60.000,9391.000,1.000
-0.492,7.383,1.045,0.877,1.756,6.250,11.726,5.095,-0.063,0.922,-0.439,-0.793,-0.824,0.031,60.000,9392.000,1.000
1.400,7.891,0.461,2.194,1.778,5.640,9.942,2.485,-0.064,0.922,-0.440,-0.916,-0.854,0.031,60.000,9393.000,1.000
3.133,8.324,-1.389,2.175,1.051,2.794,5.537,-0.466,-0.061,0.921,-0.439,-0.977,-0.885,-0.122,60.000,9394.000,1.000
4.113,8.295,-3.817,1.057,-0.161,-1.010,-0.499,-2.656,-0.062,0.921,-0.435,-1.068,-0.763,-0.092,60.000,9395.000,1.000
3.942,7.778,-5.660,-0.329,-1.069,-3.729,-5.857,-2.955,-0.063,0.923,-0.438,-1.129,-0.824,-0.153,60.000,9396.000,1.000
2.482,6.889,-6.061,-1.338,-1.137,-3.995,-8.140,-1.244,-0.060,0.924,-0.443,-1.007,-0.793,-0.092,60.000,9397.000,1.000
0.896,6.286,-4.804,-1.572,-0.201,-1.727,-6.094,1.351,-0.060,0.925,-0.441,-0.977,-0.671,-0.122,60.000,9398.000,1.000
0.598,6.600,-2.475,-0.944,1.432,2.008,-0.784,3.222,-0.059,0.925,-0.442,-1.068,-0.641,-0.061,60.000,9399.000,1.000
2.151,7.967,0.122,0.566,3.303,5.937,5.135,3.581,-0.060,0.925,-0.442,-1.099,-0.519,0.061,60.000,9400.000,1.000
5.154,10.073,2.446,2.847,5.054,9.157,9.332,2.682,-0.058,0.927,-0.443,-1.129,-0.458,0.061,60.000,9401.000,1.000
7.959,11.900,4.002,5.177,6.165,10.951,10.768,0.971,-0.060,0.927,-0.440,-1.160,-0.458,0.214,60.000,9402.000,1.000
9.627,12.736,4.720,6.933,6.511,11.150,10.241,-1.050,-0.060,0.925,-0.440,-1.129,-0.427,0.305,60.000,9403.000,1.000
10.415,12.458,4.826,7.884,6.304,9.988,9.015,-2.866,-0.061,0.928,-0.438,-1.160,-0.488,0.427,60.000,9404.000,1.000
11.136,11.331,4.709,8.146,5.770,8.003,7.835,-3.887,-0.061,0.927,-0.440,-1.099,-0.366,0.519,60.000,9405.000,1.000
12.288,9.759,4.757,8.027,5.079,6.028,6.999,-3.641,-0.062,0.927,-0.440,-1.068,-0.488,0.488,60.000,9406.000,1.000
13.074,7.879,4.997,7.691,4.254,4.762,6.217,-2.254,-0.062,0.926,-0.440,-1.221,-0.427,0.549,60.000,9407.000,1.000
13.062,6.272,5.407,7.460,3.612,4.668,5.442,-0.358,-0.062,0.926,-0.438,-1.343,-0.397,0.702,60.000,9408.000,1.000
12.398,5.464,5.780,7.412,3.272,5.495,4.884,0.979,-0.062,0.927,-0.440,-1.312,-0.427,0.763,60.000,9409.000,1.000
11.307,5.343,5.848,7.285,2.936,6.430,5.026,0.921,-0.061,0.927,-0.439,-1.404,-0.366,0.854,60.000,9410.000,1.000
9.939,5.489,5.498,6.847,2.322,6.732,6.284,-0.450,-0.060,0.926,-0.437,-1.373,-0.397,0.824,60.000,9411.000,1.000
7.777,5.253,4.530,5.953,1.214,5.887,7.668,-2.376,-0.060,0.925,-0.437,-1.465,-0.336,0.824,60.000,9412.000,1.000
4.927,4.417,3.007,5.008,-0.156,3.973,7.552,-3.739,-0.060,0.927,-0.435,-1.373,-0.305,0.854,60.000,9413.000,1.000
2.134,3.111,1.276,4.541,-1.390,1.501,5.152,-3.535,-0.058,0.926,-0.434,-1.434,-0.336,0.946,60.000,9414.000,1.000
0.433,1.878,0.038,4.898,-2.110,-0.724,1.429,-1.225,-0.058,0.924,-0.433,-1.434,-0.336,0.793,60.000,9415.000,1.000
0.539,1.396,-0.050,6.132,-2.146,-2.079,-1.847,2.754,-0.061,0.923,-0.438,-1.465,-0.427,0.854,60.000,9416.000,1.000
1.331,1.233,0.754,7.598,-2.047,-2.813,-4.027,6.705,-0.060,0.923,-0.437,-1.465,-0.244,0.763,60.000,9417.000,1.000
1.296,0.542,1.670,8.551,-2.393,-3.485,-5.180,8.770,-0.060,0.921,-0.438,-1.495,-0.275,0.732,60.000,9418.000,1.000
-0.254,-1.014,1.855,8.512,-3.410,-4.637,-5.702,7.969,-0.060,0.921,-0.435,-1.495,-0.275,0.702,60.000,9419.000,1.000
-2.652,-2.882,0.882,7.572,-4.866,-6.483,-6.107,4.514,-0.059,0.920,-0.435,-1.465,-0.214,0.671,60.000,9420.000,1.000
-4.295,-4.038,-1.018,6.310,-6.127,-8.601,-6.648,-0.479,-0.061,0.919,-0.438,-1.373,-0.244,0.549,60.000,9421.000,1.000
-4.583,-4.127,-3.261,5.027,-6.789,-10.282,-7.441,-5.423,-0.059,0.921,-0.436,-1.373,-0.336,0.641,60.000,9422.000,1.000
-3.742,-3.297,-4.906,3.842,-6.685,-10.769,-7.950,-8.514,-0.060,0.921,-0.434,-1.373,-0.275,0.549,60.000,9423.000,1.000
-2.685,-2.196,-5.280,2.653,-6.085,-9.889,-7.697,-8.776,-0.059,0.920,-0.436,-1.251,-0.183,0.458,60.000,9424.000,1.000
