EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-13.200,-0.616,-6.437,-3.953,-6.422,2.133,-2.945,-10.647,-0.049,0.932,-0.420,-1.556,-1.434,0.488,60.000,21209.000,1.000
-12.567,-2.079,-6.266,-3.239,-7.245,2.282,-0.200,-10.257,-0.048,0.932,-0.416,-1.495,-1.373,0.580,60.000,21210.000,1.000
-9.545,-2.780,-4.920,-2.000,-6.837,3.111,3.838,-7.179,-0.048,0.932,-0.414,-1.526,-1.312,0.641,60.000,21211.000,1.000
-5.617,-3.531,-3.695,-1.136,-6.088,3.314,7.185,-3.246,-0.046,0.932,-0.417,-1.465,-1.251,0.641,60.000,21212.000,1.000
-2.001,-4.696,-3.302,-1.003,-5.633,2.183,8.428,-0.409,-0.045,0.933,-0.419,-1.434,-1.190,0.732,60.000,21213.000,1.000
0.480,-6.194,-3.581,-1.374,-5.610,-0.122,7.098,0.582,-0.046,0.930,-0.418,-1.526,-1.160,0.946,60.000,21214.000,1.000
2.168,-7.293,-3.539,-1.409,-5.434,-2.681,3.860,0.504,-0.045,0.930,-0.418,-1.465,-0.946,0.946,60.000,21215.000,1.000
3.364,-7.392,-2.412,-0.503,-4.581,-4.652,-0.455,0.498,-0.045,0.929,-0.416,-1.434,-0.946,1.007,60.000,21216.000,1.000
4.197,-6.212,-0.166,1.385,-2.906,-5.532,-4.761,1.409,-0.044,0.929,-0.416,-1.312,-0.793,1.068,60.000,21217.000,1.000
4.734,-3.894,2.482,3.648,-0.739,-5.272,-7.567,3.373,-0.045,0.929,-0.417,-1.312,-0.702,0.977,60.000,21218.000,1.000
4.788,-1.157,4.476,5.262,1.196,-4.226,-7.604,5.515,-0.044,0.930,-0.416,-1.282,-0.610,1.007,60.000,21219.000,1.000
4.761,1.244,5.187,5.647,2.402,-2.760,-4.490,6.596,-0.045,0.928,-0.413,-1.190,-0.580,0.977,60.000,21220.000,1.000
4.576,2.219,4.343,4.683,2.450,-1.585,-0.068,5.724,-0.046,0.926,-0.418,-1.190,-0.427,0.977,60.000,21221.000,1.000
4.011,1.155,2.354,2.990,1.339,-1.394,2.854,3.027,-0.046,0.927,-0.417,-1.099,-0.336,0.946,60.000,21222.000,1.000
3.146,-1.386,0.131,1.583,-0.437,-2.478,2.624,-0.467,-0.047,0.929,-0.416,-1.068,-0.153,0.732,60.000,21223.000,1.000
2.129,-4.039,-1.524,1.133,-2.195,-4.540,-0.423,-3.264,-0.046,0.929,-0.417,-1.007,0.000,0.732,60.000,21224.000,1.000
1.877,-5.097,-1.937,2.013,-2.928,-6.315,-3.973,-3.739,-0.046,0.930,-0.414,-0.977,0.092,0.702,60.000,21225.000,1.000
2.770,-4.066,-0.988,3.917,-2.085,-6.482,-5.786,-1.277,-0.045,0.930,-0.415,-1.007,0.122,0.580,60.000,21226.000,1.000
4.601,-1.785,0.969,6.157,0.109,-4.642,-4.997,3.210,-0.045,0.929,-0.416,-0.977,0.183,0.427,60.000,21227.000,1.000
6.714,0.146,3.013,7.830,2.487,-1.975,-2.672,7.634,-0.044,0.931,-0.411,-1.038,0.244,0.427,60.000,21228.000,1.000
7.960,0.178,3.939,8.097,3.416,-0.471,-1.054,9.976,-0.044,0.931,-0.413,-0.977,0.366,0.305,60.000,21229.000,1.000
8.372,-1.484,3.510,7.244,2.490,-0.837,-1.069,9.777,-0.048,0.933,-0.413,-0.916,0.397,0.244,60.000,21230.000,1.000
8.464,-3.429,2.445,6.222,0.585,-2.192,-2.031,7.837,-0.046,0.934,-0.415,-1.068,0.610,0.244,60.000,21231.000,1.000
8.717,-4.317,1.816,5.815,-0.980,-2.995,-2.426,5.324,-0.046,0.934,-0.414,-1.038,0.671,0.153,60.000,21232.000,1.000
9.166,-3.944,2.172,5.963,-1.518,-2.335,-1.305,3.105,-0.045,0.933,-0.413,-1.099,0.671,0.214,60.000,21233.000,1.000
9.058,-3.444,3.156,5.807,-1.420,-0.498,0.912,1.542,-0.046,0.934,-0.416,-1.038,0.702,0.122,60.000,21234.000,1.000
8.131,-3.931,4.093,4.672,-1.355,1.620,3.460,0.660,-0.049,0.933,-0.414,-1.099,0.702,0.122,60.000,21235.000,1.000
6.128,-6.062,4.049,2.102,-2.068,2.733,5.332,-0.116,-0.048,0.938,-0.414,-1.160,0.702,0.153,60.000,21236.000,1.000
3.339,-9.360,2.621,-1.635,-3.607,2.268,6.012,-1.339,-0.049,0.940,-0.416,-1.312,0.580,0.183,60.000,21237.000,1.000
0.812,-12.368,0.515,-5.351,-4.944,1.067,5.932,-2.688,-0.051,0.940,-0.417,-1.404,0.610,0.122,60.000,21238.000,1.000
-0.681,-13.839,-1.031,-7.782,-4.973,0.248,5.523,-3.205,-0.051,0.937,-0.415,-1.678,0.519,0.153,60.000,21239.000,1.000
-0.590,-13.140,-1.150,-8.381,-3.523,-0.158,4.508,-2.700,-0.052,0.935,-0.417,-1.740,0.488,0.183,60.000,21240.000,1.000
0.222,-11.029,-0.314,-8.044,-1.918,-1.454,1.548,-2.979,-0.052,0.934,-0.416,-1.770,0.458,0.183,60.000,21241.000,1.000
0.279,-8.943,0.374,-8.102,-1.539,-4.450,-3.819,-6.114,-0.054,0.931,-0.416,-1.740,0.397,0.305,60.000,21242.000,1.000
-1.149,-7.802,0.185,-9.102,-2.480,-8.351,-10.042,-12.081,-0.054,0.933,-0.417,-1.587,0.092,0.366,60.000,21243.000,1.000
-3.932,-7.727,-0.930,-10.628,-3.704,-11.457,-14.699,-18.609,-0.054,0.936,-0.417,-1.617,0.122,0.397,60.000,21244.000,1.000
-6.813,-8.029,-2.266,-11.594,-3.705,-12.173,-15.601,-22.602,-0.053,0.939,-0.418,-1.617,-0.061,0.458,60.000,21245.000,1.000
-9.252,-8.406,-3.390,-11.612,-1.985,-10.307,-12.545,-22.431,-0.052,0.940,-0.415,-1.648,-0.092,0.458,60.000,21246.000,1.000
-11.514,-8.919,-4.462,-11.261,0.676,-7.111,-7.328,-18.928,-0.054,0.940,-0.417,-1.801,-0.305,0.427,60.000,21247.000,1.000
-13.974,-9.580,-5.872,-11.412,2.926,-4.474,-2.482,-14.575,-0.056,0.939,-0.417,-1.923,-0.397,0.580,60.000,21248.000,1.000
-16.898,-10.408,-7.635,-12.384,3.760,-3.699,0.217,-11.587,-0.057,0.937,-0.417,-1.923,-0.458,0.671,60.000,21249.000,1.000
-19.373,-10.934,-8.850,-13.232,3.465,-4.373,1.120,-10.252,-0.057,0.935,-0.419,-1.984,-0.610,0.671,60.000,21250.000,1.000
-20.621,-10.849,-8.757,-12.891,2.798,-5.184,1.354,-9.447,-0.057,0.934,-0.418,-2.075,-0.763,0.702,60.000,21251.000,1.000
-20.395,-10.099,-7.433,-11.149,2.193,-5.048,1.629,-8.015,-0.055,0.933,-0.417,-1.923,-0.854,0.732,60.000,21252.000,1.000
-18.973,-8.955,-5.736,-8.859,1.469,-3.838,1.888,-5.902,-0.052,0.932,-0.416,-1.892,-0.946,0.824,60.000,21253.000,1.000
