EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
9.155,-1.117,8.684,-2.585,1.996,-4.777,-7.539,-8.604,-0.057,0.926,-0.417,-1.892,-0.580,0.946,60.000,24865.000,1.000
10.869,0.004,9.202,-1.424,2.058,-4.910,-9.477,-9.010,-0.056,0.927,-0.419,-1.801,-0.580,1.007,60.000,24866.000,1.000
9.340,-1.461,7.684,-1.929,-0.160,-6.099,-11.799,-9.095,-0.056,0.928,-0.417,-1.831,-0.610,1.007,60.000,24867.000,1.000
6.038,-3.432,4.866,-3.280,-2.648,-6.739,-12.018,-7.639,-0.055,0.928,-0.417,-1.831,-0.580,0.977,60.000,24868.000,1.000
2.497,-3.760,1.768,-4.441,-3.348,-5.588,-8.780,-3.850,-0.054,0.931,-0.417,-1.831,-0.488,0.916,60.000,24869.000,1.000
-0.470,-1.794,-0.710,-4.682,-1.578,-2.575,-3.086,1.643,-0.052,0.933,-0.417,-1.678,-0.610,0.854,60.000,24870.000,1.000
-2.852,1.381,-2.161,-3.796,1.727,1.295,2.634,7.425,-0.051,0.937,-0.417,-1.617,-0.488,0.824,60.000,24871.000,1.000
-4.648,3.944,-2.652,-1.802,5.008,4.725,6.531,12.900,-0.052,0.941,-0.415,-1.495,-0.427,0.732,60.000,24872.000,1.000
-5.552,4.365,-2.581,1.088,7.031,6.767,8.159,18.218,-0.052,0.942,-0.417,-1.434,-0.275,0.610,60.000,24873.000,1.000
-6.300,1.544,-2.703,3.913,6.867,6.688,7.378,22.289,-0.051,0.938,-0.420,-1.495,-0.214,0.763,60.000,24874.000,1.000
-7.623,-4.052,-3.406,5.637,4.518,4.403,4.544,22.713,-0.049,0.933,-0.420,-1.587,-0.061,0.702,60.000,24875.000,1.000
-9.454,-10.313,-4.634,5.639,0.927,0.443,0.414,17.722,-0.050,0.924,-0.418,-1.526,-0.122,0.763,60.000,24876.000,1.000
-10.725,-14.577,-6.012,3.976,-2.527,-4.234,-3.933,7.948,-0.052,0.920,-0.412,-1.434,0.031,0.671,60.000,24877.000,1.000
-10.097,-15.231,-7.041,1.371,-4.708,-8.247,-6.957,-3.576,-0.052,0.921,-0.415,-1.251,0.214,0.610,60.000,24878.000,1.000
